UserID,SessionID,ProductID,CartEvent,OrderID,OrderStatus,PaymentMethod,Timestamp
U0035,S0030,P0015,add,No Order,No order,None,2024-01-28 15:25:00
U0066,S0268,P0006,purchase,O0002,No order,Debit Card,2024-01-11 11:34:00
U0057,S0260,P0039,view,No Order,No Order,Paypal,2024-01-06 23:15:00
U0059,S0008,P0008,remove,O0004,No Order,Paypal,2024-01-06 5:53:00
U0023,S0081,P0032,add,O0005,No order,Paypal,2024-01-14 1:58:00
U0005,S0221,P0026,add,O0006,Canceled,Debit Card,2024-01-15 10:15:00
U0088,S0194,P0042,add,O0007,No order,Paypal,2024-01-21 10:42:00
U0029,S0107,P0036,remove,O0008,No order,None,2024-01-17 4:17:00
U0090,S0063,P0030,view,O0009,No order,None,2024-01-13 21:11:00
U0078,S0246,P0031,view,O0010,No order,Paypal,2024-01-25 4:53:00
U0029,S0236,P0039,view,No Order,No Order,Paypal,2024-01-12 13:54:00
U0092,S0087,P0011,remove,O0012,No order,None,2024-01-09 18:38:00
U0012,S0198,P0011,purchase,O0013,Pending,None,2024-01-24 2:17:00
U0034,S0171,P0034,add,No Order,No order,None,2024-01-23 21:52:00
U0098,S0284,P0013,remove,O0015,Canceled,None,2024-01-28 18:37:00
U0097,S0075,P0048,remove,O0016,No order,None,2024-01-20 18:50:00
U0014,S0279,P0015,remove,No Order,No order,Credit Card,2024-01-07 18:37:00
U0061,S0115,P0003,purchase,No Order,No order,Debit Card,2024-01-07 17:39:00
U0039,S0051,P0024,add,No Order,Pending,None,2024-01-06 15:58:00
U0031,S0033,P0004,add,O0020,Pending,Debit Card,2024-01-10 20:35:00
U0057,S0081,P0017,purchase,O0021,Delivered,None,2024-01-18 9:21:00
U0089,S0227,P0025,add,O0022,No Order,Debit Card,2024-01-04 0:57:00
U0052,S0292,P0048,view,No Order,Pending,Credit Card,2024-01-05 5:47:00
U0048,S0289,P0039,add,No Order,Pending,None,2024-01-25 8:39:00
U0061,S0074,P0026,add,No Order,No Order,Paypal,2024-01-04 6:08:00
U0088,S0047,P0017,view,No Order,Pending,None,2024-01-04 8:44:00
U0089,S0168,P0025,remove,O0027,No order,Debit Card,2024-01-18 21:39:00
U0055,S0079,P0007,remove,O0028,No Order,Credit Card,2024-01-30 19:30:00
U0045,S0168,P0039,view,O0029,No order,Credit Card,2024-01-30 11:59:00
U0060,S0026,P0042,add,No Order,No order,Paypal,2024-01-08 4:10:00
U0053,S0286,P0007,purchase,O0031,Canceled,None,2024-01-22 6:46:00
U0078,S0067,P0039,remove,No Order,No order,Debit Card,2024-01-06 23:18:00
U0065,S0266,P0039,view,O0033,No Order,None,2024-01-03 17:32:00
U0022,S0246,P0015,purchase,O0034,No order,Debit Card,2024-01-13 3:27:00
U0065,S0006,P0032,add,O0035,No order,None,2024-01-04 13:39:00
U0073,S0050,P0019,purchase,O0036,No order,None,2024-01-27 9:02:00
U0044,S0194,P0044,remove,O0037,No order,Debit Card,2024-01-29 17:37:00
U0071,S0036,P0025,add,No Order,No order,None,2024-01-19 2:49:00
U0057,S0243,P0042,purchase,No Order,No order,None,2024-01-27 4:24:00
U0049,S0067,P0019,purchase,No Order,No order,None,2024-01-21 8:58:00
U0031,S0272,P0019,view,O0041,No order,None,2024-01-10 13:28:00
U0074,S0047,P0040,view,No Order,No Order,Paypal,2024-01-13 14:22:00
U0039,S0056,P0049,view,O0043,No order,None,2024-01-15 12:57:00
U0098,S0155,P0016,remove,No Order,Canceled,None,2024-01-19 9:03:00
U0024,S0298,P0029,view,No Order,Pending,Debit Card,2024-01-11 18:49:00
U0020,S0288,P0040,remove,O0046,Canceled,Credit Card,2024-01-15 6:36:00
U0085,S0084,P0029,purchase,O0047,Shipped,None,2024-01-03 20:51:00
U0096,S0224,P0010,remove,No Order,No order,None,2024-01-09 7:57:00
U0032,S0026,P0027,remove,O0049,No order,None,2024-01-22 1:46:00
U0008,S0120,P0012,remove,No Order,No Order,Credit Card,2024-01-28 20:02:00
U0054,S0044,P0049,remove,No Order,No order,Paypal,2024-01-21 9:20:00
U0057,S0132,P0028,purchase,No Order,Canceled,None,2024-01-08 15:40:00
U0060,S0129,P0043,remove,O0053,No order,Paypal,2024-01-07 8:30:00
U0009,S0227,P0020,remove,O0054,Pending,None,2024-01-11 3:20:00
U0098,S0096,P0026,remove,No Order,No order,None,2024-01-07 9:28:00
U0083,S0158,P0027,view,No Order,No order,None,2024-01-02 10:30:00
U0057,S0203,P0040,purchase,O0057,Delivered,Credit Card,2024-01-02 22:18:00
U0027,S0024,P0044,add,No Order,No order,None,2024-01-16 20:13:00
U0071,S0253,P0002,purchase,No Order,No order,None,2024-01-30 21:11:00
U0004,S0250,P0032,remove,No Order,No order,None,2024-01-09 11:54:00
U0043,S0052,P0003,view,No Order,No Order,None,2024-01-26 4:10:00
U0092,S0287,P0047,view,O0062,No order,Debit Card,2024-01-07 18:47:00
U0092,S0143,P0029,view,O0063,No Order,None,2024-01-26 7:35:00
U0026,S0290,P0014,add,O0064,No Order,Paypal,2024-01-07 13:54:00
U0088,S0225,P0029,purchase,No Order,Canceled,None,2024-01-26 4:17:00
U0039,S0007,P0010,add,No Order,No Order,None,2024-01-01 15:20:00
U0030,S0085,P0014,add,O0067,No order,None,2024-01-08 9:48:00
U0092,S0232,P0050,purchase,O0068,No order,None,2024-01-14 4:59:00
U0042,S0052,P0030,add,O0069,No order,Credit Card,2024-01-28 11:00:00
U0024,S0253,P0026,view,O0070,No Order,None,2024-01-05 9:44:00
U0010,S0279,P0014,view,No Order,No order,None,2024-01-22 21:14:00
U0029,S0134,P0039,view,No Order,No order,None,2024-01-14 19:25:00
U0037,S0163,P0025,remove,No Order,Canceled,Paypal,2024-01-17 18:14:00
U0034,S0060,P0010,remove,No Order,No Order,None,2024-01-21 18:05:00
U0023,S0045,P0017,add,O0075,No order,None,2024-01-13 23:44:00
U0081,S0200,P0050,remove,O0076,No order,None,2024-01-02 16:57:00
U0001,S0210,P0012,purchase,O0077,No order,None,2024-01-11 14:12:00
U0078,S0061,P0042,add,O0078,No order,None,2024-01-25 17:09:00
U0046,S0292,P0040,remove,No Order,Canceled,None,2024-01-25 0:13:00
U0038,S0252,P0013,view,O0080,No order,Credit Card,2024-01-21 6:06:00
U0070,S0258,P0043,purchase,O0081,Delivered,Credit Card,2024-01-17 14:50:00
U0066,S0265,P0011,add,O0082,Pending,Paypal,2024-01-04 4:51:00
U0071,S0010,P0035,remove,O0083,Pending,Paypal,2024-01-04 10:59:00
U0082,S0155,P0024,remove,No Order,Pending,None,2024-01-08 22:23:00
U0016,S0116,P0003,remove,No Order,No order,None,2024-01-05 0:47:00
U0077,S0031,P0027,remove,No Order,Canceled,None,2024-01-20 14:27:00
U0073,S0208,P0026,view,No Order,Pending,None,2024-01-03 21:40:00
U0073,S0211,P0044,remove,O0088,No order,None,2024-01-04 11:44:00
U0042,S0175,P0037,add,O0089,No Order,None,2024-01-19 18:18:00
U0016,S0074,P0018,add,No Order,No order,Credit Card,2024-01-14 22:25:00
U0088,S0247,P0043,purchase,O0091,Pending,None,2024-01-05 12:52:00
U0083,S0283,P0035,view,No Order,No Order,Paypal,2024-01-20 10:34:00
U0061,S0007,P0020,view,O0093,No Order,None,2024-01-20 8:45:00
U0043,S0252,P0004,add,No Order,Pending,None,2024-01-19 22:03:00
U0022,S0243,P0048,remove,O0095,No order,Credit Card,2024-01-25 5:28:00
U0055,S0284,P0013,add,O0096,No order,None,2024-01-21 3:59:00
U0012,S0086,P0024,purchase,O0097,Delivered,Credit Card,2024-01-01 6:27:00
U0021,S0173,P0011,purchase,No Order,Pending,None,2024-01-28 21:57:00
U0086,S0131,P0018,view,O0099,Pending,Paypal,2024-01-12 14:17:00
U0060,S0014,P0020,view,No Order,Canceled,None,2024-01-04 22:26:00
U0058,S0109,P0011,remove,No Order,No Order,None,2024-01-30 19:42:00
U0010,S0044,P0017,add,O0102,No order,Credit Card,2024-01-02 16:02:00
U0030,S0174,P0018,remove,O0103,No order,None,2024-01-23 2:09:00
U0054,S0297,P0012,add,O0104,No order,Paypal,2024-01-24 2:12:00
U0059,S0122,P0001,remove,O0105,Canceled,Credit Card,2024-01-05 6:32:00
U0044,S0152,P0036,remove,O0106,No Order,None,2024-01-05 22:01:00
U0011,S0009,P0011,add,No Order,No Order,None,2024-01-27 8:31:00
U0062,S0107,P0006,view,No Order,No order,None,2024-01-27 6:56:00
U0094,S0191,P0029,remove,No Order,No order,Credit Card,2024-01-04 19:51:00
U0053,S0027,P0008,remove,No Order,No order,Paypal,2024-01-26 17:15:00
U0080,S0009,P0025,purchase,No Order,Canceled,None,2024-01-27 9:58:00
U0060,S0046,P0046,purchase,No Order,No order,None,2024-01-08 8:32:00
U0091,S0010,P0005,view,O0113,Pending,None,2024-01-08 19:47:00
U0069,S0057,P0049,add,No Order,No order,None,2024-01-27 7:21:00
U0012,S0267,P0002,view,O0115,No Order,Credit Card,2024-01-05 9:30:00
U0090,S0204,P0004,purchase,O0116,No order,Credit Card,2024-01-05 5:14:00
U0029,S0217,P0029,purchase,No Order,Delivered,None,2024-01-25 20:25:00
U0049,S0126,P0002,add,O0118,No Order,Paypal,2024-01-14 21:45:00
U0019,S0231,P0046,add,O0119,No order,Credit Card,2024-01-29 2:46:00
U0057,S0080,P0031,purchase,O0120,Delivered,Debit Card,2024-01-18 10:34:00
U0054,S0005,P0024,add,O0121,No order,None,2024-01-09 2:27:00
U0008,S0208,P0033,view,No Order,Canceled,None,2024-01-16 5:47:00
U0089,S0039,P0030,add,O0123,No order,None,2024-01-09 8:43:00
U0041,S0259,P0029,remove,O0124,No order,None,2024-01-25 10:15:00
U0012,S0122,P0035,view,O0125,Pending,Paypal,2024-01-02 11:56:00
U0089,S0026,P0025,remove,No Order,No order,None,2024-01-24 17:33:00
U0026,S0157,P0014,view,O0127,No order,Paypal,2024-01-13 4:04:00
U0001,S0220,P0046,add,No Order,No order,Debit Card,2024-01-24 11:22:00
U0027,S0127,P0019,view,No Order,No order,None,2024-01-24 0:05:00
U0019,S0077,P0001,remove,No Order,No Order,Paypal,2024-01-11 9:34:00
U0088,S0080,P0031,purchase,O0131,Pending,Paypal,2024-01-11 11:02:00
U0001,S0196,P0006,remove,No Order,Canceled,Credit Card,2024-01-05 1:27:00
U0047,S0125,P0048,view,O0133,No order,Paypal,2024-01-05 22:24:00
