CartEventID,UserID,SessionID,ProductID,EventType,Timestamp
CE0000,U0000,S0000,P0000,remove,2024-01-01 00:00:00
CE0001,U0001,S0001,P0001,view,2024-01-01 01:00:00
CE0002,U0002,S0002,P0002,view,2024-01-01 02:00:00
CE0003,U0003,S0003,P0003,purchase,2024-01-01 03:00:00
CE0004,U0004,S0004,P0004,remove,2024-01-01 04:00:00
CE0005,U0005,S0005,P0005,add,2024-01-01 05:00:00
CE0006,U0006,S0006,P0006,view,2024-01-01 06:00:00
CE0007,U0007,S0007,P0007,view,2024-01-01 07:00:00
CE0008,U0008,S0008,P0008,view,2024-01-01 08:00:00
CE0009,U0009,S0009,P0009,add,2024-01-01 09:00:00
CE0010,U0010,S0010,P0010,remove,2024-01-01 10:00:00
CE0011,U0011,S0011,P0011,remove,2024-01-01 11:00:00
CE0012,U0012,S0012,P0012,remove,2024-01-01 12:00:00
CE0013,U0013,S0013,P0013,view,2024-01-01 13:00:00
CE0014,U0014,S0014,P0014,purchase,2024-01-01 14:00:00
CE0015,U0015,S0015,P0015,add,2024-01-01 15:00:00
CE0016,U0016,S0016,P0016,remove,2024-01-01 16:00:00
CE0017,U0017,S0017,P0017,purchase,2024-01-01 17:00:00
CE0018,U0018,S0018,P0018,remove,2024-01-01 18:00:00
CE0019,U0019,S0019,P0019,add,2024-01-01 19:00:00
CE0020,U0020,S0020,P0020,purchase,2024-01-01 20:00:00
CE0021,U0021,S0021,P0021,view,2024-01-01 21:00:00
CE0022,U0022,S0022,P0022,view,2024-01-01 22:00:00
CE0023,U0023,S0023,P0023,purchase,2024-01-01 23:00:00
CE0024,U0024,S0024,P0024,remove,2024-01-02 00:00:00
CE0025,U0025,S0025,P0025,purchase,2024-01-02 01:00:00
CE0026,U0026,S0026,P0026,view,2024-01-02 02:00:00
CE0027,U0027,S0027,P0027,remove,2024-01-02 03:00:00
CE0028,U0028,S0028,P0028,add,2024-01-02 04:00:00
CE0029,U0029,S0029,P0029,remove,2024-01-02 05:00:00
CE0030,U0030,S0030,P0030,remove,2024-01-02 06:00:00
CE0031,U0031,S0031,P0031,view,2024-01-02 07:00:00
CE0032,U0032,S0032,P0032,remove,2024-01-02 08:00:00
CE0033,U0033,S0033,P0033,view,2024-01-02 09:00:00
CE0034,U0034,S0034,P0034,purchase,2024-01-02 10:00:00
CE0035,U0035,S0035,P0035,add,2024-01-02 11:00:00
CE0036,U0036,S0036,P0036,purchase,2024-01-02 12:00:00
CE0037,U0037,S0037,P0037,purchase,2024-01-02 13:00:00
CE0038,U0038,S0038,P0038,purchase,2024-01-02 14:00:00
CE0039,U0039,S0039,P0039,view,2024-01-02 15:00:00
